lang_id	1	2	3	4	5	6	7	8	9	10	11	12	13	14	15	16	17	18	19	20	21	22	23	24	25	26	27	28	29
lang_code	en	se	es	el	de	du	he	fr	fq	no	zh	zt	ru	hy	sk	in	gr	ei	pe	pt	ar	da	tr	po	am	it	hi	ro	dd
lang_description	English (Standard)	Swedish	Spanish (Spain)	Spanish (Latin American)	German	Dutch	Hebrew	French (Standard)	French (Canadian)	Norwegian	Chinese (Simplified)	Chinese (Traditional)	Russian	Armenian	Slovak	Bahasa Indonesia	Greek	English (Indian)	Portuguese (European)	Portuguese (Brazilian)	Arabic	Danish	Turkish	Polish	Amharic	Italian	Hindi	Romanian	dummy
(DO NOT EDIT BELOW)	(DO NOT EDIT BELOW)	DO EDIT BELOW	DO EDIT BELOW	DO EDIT BELOW	DO EDIT BELOW	DO EDIT BELOW	DO EDIT BELOW	DO EDIT BELOW	DO EDIT BELOW	DO EDIT BELOW	DO EDIT BELOW	DO EDIT BELOW	DO EDIT BELOW	DO EDIT BELOW	DO EDIT BELOW	DO EDIT BELOW	DO EDIT BELOW	DO EDIT BELOW	DO EDIT BELOW	DO EDIT BELOW	DO EDIT BELOW	DO EDIT BELOW	DO EDIT BELOW	DO EDIT BELOW	DO EDIT BELOW	DO EDIT BELOW	DO EDIT BELOW	DO EDIT BELOW	(DO NOT EDIT BELOW)
cons_id	constant_name	definition	definition	definition	definition	definition	definition	definition	definition	definition	definition	definition	definition	definition	definition	definition	definition	definition	definition	definition	definition	definition	definition	definition	definition	definition	definition	definition	definition
1	A	A	Un, Una	Un, Una	A	A		Un	Un		一	一					Ένα		Um	A		A	Bir	A			एक		dummy
2	A check number or claim number to identify the payment	Ett betalningsnr för att identifiera betalningen	Un número de cheque o reclamación para identificar el pago	Un número de cheque o reclamación para identificar el pago	Schecknummer oder Reklamationsnummer ist erforderlich, um Zahlung zu identifizieren	Chequenummer of claimnummer om betaling te identificeren		Un numéro de chèque ou un numéro de réclamation pour identifier le paiement.	Un numéro de chèque ou un numéro de réclamation pour identifier le paiement.	Et betalingsnummer til å identifisere betalingen	一个支票或申索号码 用来查询付款	一個支票或申索號碼 用來查詢付款	Проверка номера или требований для идентификации оплаты			Cek nomor atau nomor klaim untuk mengidentifikasi pembayaran	Ένας αριθμός Επιταγής ή Αίτησης αποζημίωσης για να ταυτοποίηθεί η πληρωμή		Número de cheque ou de crédito para identificar o pagamento	Um número de cheque ou de crédito para identificar o pagamento	رقم الإيصال أو المطالبة للتعريف بالدفع	Nummer, der identificerer betalingen	Ödemeyi tanımlamak için bir çek numarası veya talep numarası	Numer czeku lub rachunku do identyfikacji płatności		Numero assegno o identificativo pagamento	एक चेक नंबर या claim नंबर भुगतान की पहचान के लिए		dummy
3	A client certificate for the admin user	Klientcertifikat for brugeren \"Administrator\"	Un certificado del cliente para el usuario de admin	Un certificado del cliente para el usuario de admin	Klienten Zertifikat für Administrator	Een certificaat voor de ADMIN gebruiker		Un certificat du client pour l\'administrateur	Un certificat du client pour l\'administrateur				Сертификат клиента для административного пользования				Ένα πιστοποιητικό πελάτη για τον διαχειριστή		Certificado de cliente para o administrador do sistema	Um certificado cliente para o usuário administrador	شهادة عميل للمستخدم المشرف	Patient certificat til administrator	Yönetici kullanıcısı için bir müşteri sertifikası	Certifikat klienta dla użytkownika administracyjnego		Un certificato del Client per l\'utente admin	एक client certificate computer व्यवस्थापक के लिए		dummy
4	A distributor is required		Un distribuidor es requerido	Un distribuidor es requerido	Einen Verteiler ist notwendig	hiervoor is een distributeur nodig		Un distributeur est requis	Un distributeur est requis								Απαιτείται ένας αντιπρόσωπος			Um distribuidor é necessário	مطلوب موزع		Bir bayi gerekiyor	Wymagany jest dystybutor		E\' richiesto un distributore	एक वितरक की आवश्यकता है		dummy
5	A GCAC visit form should be added to this visit.		Formulario de visita GCAC debe ser agregado a esta visita	Formulario de visita GCAC debe ser agregado a esta visita	Ein GCAC Besucher Formular sollte angefügt werden	Een CGAC visite formulier hoort bij dit bezoek.		Un formulaire de visite GCAC doit être ajouté à cette visite	Un formulaire de visite GCAC doit être ajouté à cette visite				Форма GCAC должна быть добавлена к этому посещению				Μια επίσκεψη GCAG πρέπει να προστεθεί σε αυτήν την επίσκεψη.		Um formulário GCAC deve ser acrescentado a esta visita	Um formulário GCAC deve ser acrescentado a esta visita	ويجب أن صيغة الزيارة ان تضاف الى هذه الزيارة.		Bu kayda GCAC vizit formunun eklenmesi gerekiyor.	Formularz GCAC powinien być dodany do tej wizyty		Si dovrebbe aggiungere un modulo GCAC a questa visita.	एक GCAC visit फार्म इस visit के लिए जोड़ा जाना चाहिए.		dummy
6	A lot number is required		Un número de lote es requerido	Un número de lote es requerido	Ein Losnummer ist notwendig!	Een lot # is vereist		Un numéros de lot est requis	Un numéros de lot est requis								Απαιτείται ένας αριθμός παρτίδας		Falta o número de lote	Um número de lote é necessário		Det er nødvendigt med et serienummer	Bir parti numarası gerekiyor.	Wymagany jest numer serii		Si richiede il numero del lotto	एक lot नंबर की आवश्यकता है		dummy
7	A lot number is required!	Ett serienr krävs!	Un número de lote es requerido!	Un número de lote es requerido!	Ein Losnummer ist notwendig!	Een lot # is vereist!		Un numéro de lot est exigé !	Un numéro de lot est exigé !	Et serie nummer trenges!	需要一个批号！	需要一個批號！	Требуется лучший номер.			Dibutuhkan nomor LOT!	Απαιτείται ένας αριθμός παρτίδας!		Falta o número de lote!	Um número de lote é necessário!	مطلوب رقم شحنة	Det er nødvendigt med et serienummer	Bir parti numarası gerekiyor!	Wymagany jest numer serii!		Si richiede il numero del lotto!	एक lot नंबर की आवश्यकता है!		dummy
8	A lowercase letter	En liten bokstav	Una letra minuscula	Una letra minuscula	Kleinbuchstabe	Kleine letter		Une lettre en minuscule	Une lettre en minuscule				Прописная буква			Huruf Kecil	Ένα μικρό γράμμα		Letra minúscula	Uma letra minúscula	أبجدية صغيرة	Et \"lille\" bogstav	Bir küçük harf	Mała litera		Lettera minuscola	एक छोटा अक्षर		dummy
9	A number	Ett tal	Un numero	Un numero	Nummer	Numeriek		Un nombre	Un nombre				Номер			Angka	Ένας αριθμός		Um número	Um número	رقم	Et tal	Bir sayı	Numer		Un numero	एक नंबर		dummy
10	A patient with this ID already exists.	En patient med detta ID finns redan	Un paciente con esta ID ya existe	Un paciente con esta ID ya existe	Ein Klient mit dieser ID existiert bereits	Een client met deze ID is al geregistreed		Un patient avec cet identifiant existe déjà.	Un patient avec cet identifiant existe déjà.				Пациент,идентифицированный таким образом, уже существует			Pasien dengan ID tersebut telah terdaftar	Ένας ασθενής με αυτόν τον Κωδικό υπάρχει ήδη		Já existe um utentecom este ID.	Já existe um paciente com está identificação.	المريض مع هذا التعريف موجود بالفعل	Der findes allerede en patient med dette nummer	Bu ID ile önceden kayıtlı bir hasta var.	Pacjent z tym numerem ID już istnieje		Esiste già un paziente con lo stesso ID	इस आईडी के साथ एक मरीज ​​पहले से ही मौजूद है.		dummy
11	A patient with this name already exists.	En patient med detta namn finns redan	Un paciente con este nombre ya existe	Un paciente con este nombre ya existe	Ein Klient mit dieser Namen existiert bereits	Een client met deze naam bestaat al		Un patient avec ce nom existe déjà.	Un patient avec ce nom existe déjà.				Пациент под этим именем уже существует			Pasien dengan Nama tersebut telah terdaftar	Ένας ασθενής με αυτό το όνομα υπάρχει ήδη		Já existe um utentecom este nome.	Já existe um paciente com este nome.	المريض مع هذا الاسم موجود بالفعل	Der findes allerede en patient med dette navn	Bu isim ile önceden kayıtlı bir hasta var.	Pacjent o tym nazwisku już istnieje		Esiste già un paziente con lo stesso nome	इस नाम के साथ एक मरीज ​​पहले से ही मौजूद है.		dummy
12	A patient with this SS already exists.	En patient med detta försäkringsnummer ( SS ) finns redan	Un paciente con este numero de Seguro Social ya existe	Un paciente con este numero de Seguro Social ya existe	Ein Klient mit dieser SS existiert bereits	Een client met deze Soc.Sec. bestaat al		Un patient avec ce matriculant existe déjà.	Un patient avec ce matriculant existe déjà.							Pasien dengan SS tersebut telah terdaftar	Ένας ασθενής με αυτόν τον ΑΜΚΑ υπάρχει ήδη		Já existe um utente com este SS.	Um paciente com este SS já existe	المريض مع هذا بطاقة الهوية موجود بالفعل	Der findes allerede en patient med dette CPRnummer	Bu SGK numarası ile önceden kayıtlı bir hasta var.	Pacjent z tym PESELem istnieje		Esiste già un paziente con lo stesso CF	इस SS के साथ एक मरीज ​​पहले से ही मौजूद है.		dummy
13	A referral source may be specified for each visit.	Den remitterande instansen kan framgå vid varje besök	Una fuente de referencia puede ser especificada para cada visita	Una fuente de referencia puede ser especificada para cada visita		Aanmaken van verwijs bron kan bij ieder bezoek		Une source de référence peut être spécifiée pour chaque visite.	Une source de référence peut être spécifiée pour chaque visite.								Μια πηγή παραπομπής μπορεί να οριστεί για κάθε επίσκεψη.		Uma fonte de referência pode ser especificada para cada visita	Uma fonte de referência pode ser especificada para cada visita.			Her vizite için sevk eden bir kaynak belirtilebilir.	Źródło skierowania może być określone dla każdej wizyty		Una fonte di riferimento può essere specificata per ogni visita	एक सिफ़ारिश प्रत्येक visit के लिए निर्दिष्ट की जा सकती है.		dummy
14	A related IPPF code is required!	En relaterad IPPF kod krävs!	Un código IPPF relacionado es requerido	Un código IPPF relacionado es requerido	Eine verknüpfter IPPF Code wird benötigt	Een overeenkomstige IPPF code is noodzakelijk!		Le code relatif à IPPF est exigé!	Le code relatif à IPPF est exigé!	En relatert IPPF kode trenges	需要一个相关国际计划生育联合会的代码！	需要一個相關國際計劃生育聯合會的代碼！	Связанный IPPF код требуется.			Diperlukan kode yang berhubungan dengan IPPF!	Απαιτείται ένας σχετικός κωδικός IPPF		Necessario o codigo IPPF	Um código IPPF relacionado é necessário!	المتعلقة IPPF مطلوب رمز	En relaterad IPPF kod krävs!	İlgili bir IPPF kodu gerekiyor!	Wymagany jest odpowiadający kod IPPF!		Si richiede il relativo codice IPFF	एक संबंधित IPPF कोड की आवश्यकता है!		dummy
15	A special character	En special karaktär	Un caracter especial	Un caracter especial	Sonderzeichen	Een speciaal karakter		Un caractère spécial 	Un caractère spécial 				условное обозначение			Karakter khusus	Ένας ειδικός χαρακτήρας		Caractere especial	Um caractere especial	حرف خاص	En special karakter	Özel bir karakter	Znak specjalny		Carattere speciale	एक विशेष character		dummy
16	A unique value to identify this field, not visible to the user	Ett unikt värde, som ej är synlig för användaren, identifierar detta fält.	Un valor único para identificar este campo, no visible al usuario	Un valor único para identificar este campo, no visible al usuario	Ein eindeutiger Wert um das feld zu identifizieren, nicht sichtbar für Benutzer	Een unieke waarde om dit veld te identificeren, onzichtbaar voor de gebruiker		Une valeur unique afin d\'identifier ce champ, invisible pour l\'utilisateur	Une valeur unique afin d\'identifier ce champ, invisible pour l\'utilisateur		一个特有的数值以确定这一字段域，用户不可见	一個特有的數值以確定這一字段域，用戶不可見	Уникальное значение, определяющее это поле не видимо для пользователя. 			Nilai yang unik untuk mengidentifikasi bidang ini, tidak terlihat ke pengguna	Μία μοναδικό αναγνωριστικό αυτού του πεδίου, μη ορατό στο χρήστη		Um valor único para identificar este campo, não visível para o utilizador	Um valor único para identificar este campo, não visível para o usuário	رقم فريد للتعريف بهذا الحقل,غير مرئي للمستخدم	Ett unikt värde för att identifiera detta område, inte synlig för användaren	Bu alanı tanımlayacak,kullanıcıya görünmeyen, benzersiz bir değer			Valore unico di identificazione per questo campo, non visibile all\'utente			dummy
17	a.c.	Före måltid	antes de las comidas	antes de las comidas	präprandial	voor ontbijt		Avant les repas	Avant les repas		饭前	飯前				Sebelum makan	προ φαγητού		a.c.	c.a.	قبل الطعام	Før et måltid	yemekten önce			ante cibum			dummy
18	a.m.	morgonen	a.m.	a.m.	morgens	in de morgen		matin	matin		上午	上午				Pagi Hari	π.μ.		a.m.	AM	بعد الطعام	Formiddag	öğleden önce	rano		a.m.	प्रात:		dummy
19	A/F Level Right:		A/F Nivel de Derecho	A/F Nivel de Derecho	Luft-Flüssigkeit-Ebene Recht	A/F Niveau rechts:		Fluidité d\'air au niveau de l\'oreille droite	Fluidité d\'air au niveau de l\'oreille droite		的A / F级右：					A/F Level Kanan	Υδραερικό επίπεδο Δεξιά		A/F Nivel Direito	A / F Nível Direita:			A/F Sağ Düzey						dummy
20	AB	AB	AB	AB	AB	AB		AB	AB		AB公司					AB			AB	Agenda	جدول الأعمال	AB	AB						dummy
21	Abbreviation	Förkortning	Abreviatura	Abreviatura	Abkürzung	Afkorting		Abréviation	Abréviation		缩写		Абревиатура			Kependekan	Συντόμευση		Abreviatura	Abreviatura	اختصارات	Forkortelse	Kısaltma	Skrót		Abbreviazione	संक्षेप		dummy
22	Abcess:	Tillgång	Absceso	Absceso	Geschwür:	Abces		Abcès	Abcès		脓肿：		Абсцесс:			Abses	Απόστημα:		Abcesso:	Abcesso:	خراج	Abcess:	Abse			Ascesso			dummy
23	Abdominal	Patologisk	Abdominal	Abdominal	Abdominal	Abdominaal		Abdominal	Abdominal		腹部		Абдоминальный			Perut	Κοιλιακό		Abdominal	Abdominal	بطني	Abdominal	Abdominal			Addominale	उदर		dummy
24	Able to Bear Weight four (4) steps:	kan bära Vikt fyra (4) steg: 	Capaz de cargar peso cuatro pasos	Capaz de cargar peso cuatro pasos	gewicht an geben in 4 raten	Vier stappenplan voor toename gewichtsbelasting: 		Capable de supporter le poids sur 4 marches:	Capable de supporter le poids sur 4 marches:		能承受重量四(4)步骤：					Mampu Berjalan empat (4) langkah:	Σε θέση να φέρει βάρος τέσσερα (4) βήματα:		Capaz de suportar o peso por quatro (4) passos:	Capaz de suportar o peso por quatro (4) passos:	قادر على حمل الوزن أربع خطوات	kan bära Vikt fyra (4) steg: 	Dört (4) Basamak Ağırlık Taşıyabilir:			Capace di portare pesi per quattro passi			dummy
25	Abn	Abn	Abn	Abn	Abn	Abn		Anormal	Anormal		荷银					ABN	Παθολ.		Abn	ABN	غير سوي	Abn	Abn			Anorm			dummy
26	ABN1	ABN1	ABN1	ABN1	ABN1	ABN1					ABN1					ABN1			ABN1	ABN1		ABN1	ABN1			ANORM1			dummy
27	Abnormal	Patologisk	Anormal	Anormal	auffällig	Abnormaal		Anormal	Anormal		不正常的		Патологический			Abnormal	Παθολογικό		Anormal	Anormal	غير سوي	Unormal	Anormal	Odchylenie		Anormale	असामान्य		dummy
28	Abnormal Blood Test	Patologiskt blodprov	Análisis de sangre anormal	Análisis de sangre anormal	auffälliger Bluttest	Abnormale bloedtest		Test Sanguin Anormal	Test Sanguin Anormal		不正常血液的测验		Патология анализа крови			Test Darah Abnormal	Παθολογική εξέταση αίματος		Teste Sanguíneo Anormal	Teste de Sangue Anormal	فحص دم غير سوي	Unormal blodprøve	Anormal kan testi			Esame del sangue anormale	असामान्य रक्त परीक्षण		dummy
29	Abnormal Hair Growth	Avvikande hårväxt	Crecimiento anormal del pelo	Crecimiento anormal del pelo	auffälliges Haarwachstum	Abnormale haargroei		Croissance anormale des cheveux	Croissance anormale des cheveux		不正常毛发的生长		Патология роста волос			Pertumbuhan Rambut Abnormal	Παθολογική τριχοφυΐα		Crescimento Anormal do Cabelo	Crescimento anormal dos cabelos	نمو شعر غير طبيعي	Unormal Hårvækst	Anormal tüylenme			Ipertricosi anomala	असामान्य बाल विकास		dummy
